Time,Temperature(°C),Precipitation(mm),Cloudcover(%),Pressure(hPa),Wind Speed(km / h),Dewpoint(°C)
01 01 2018 09:50,6.5,0,8,917.9,5.9,-1.7
01 01 2018 10:00,5.2,0,14,917.5,4,1.1
01 01 2018 10:10,5.2,0,14,917.5,4,1.1
01 01 2018 10:20,5.2,0,14,917.5,4,1.1
01 01 2018 10:30,5.2,0,14,917.5,4,1.1
01 01 2018 10:40,5.2,0,14,917.5,4,1.1
01 01 2018 10:50,5.2,0,14,917.5,4,1.1
01 01 2018 11:00,2.2,0,9,916.1,7.2,-1.4
01 01 2018 11:10,2.2,0,9,916.1,7.2,-1.4
01 01 2018 11:20,2.2,0,9,916.1,7.2,-1.4
01 01 2018 11:30,2.2,0,9,916.1,7.2,-1.4
01 01 2018 11:40,2.2,0,9,916.1,7.2,-1.4
01 01 2018 11:50,2.2,0,9,916.1,7.2,-1.4
01 01 2018 12:00,2.1,0,3,915.7,5.5,-3
01 01 2018 12:10,2.1,0,3,915.7,5.5,-3
01 01 2018 12:20,2.1,0,3,915.7,5.5,-3
01 01 2018 12:30,2.1,0,3,915.7,5.5,-3
01 01 2018 12:40,2.1,0,3,915.7,5.5,-3
01 01 2018 12:50,2.1,0,3,915.7,5.5,-3
01 01 2018 13:00,2,0,1,915.6,6,-3.6
01 01 2018 13:10,2,0,1,915.6,6,-3.6
01 01 2018 13:20,2,0,1,915.6,6,-3.6
01 01 2018 13:30,2,0,1,915.6,6,-3.6
01 01 2018 13:40,2,0,1,915.6,6,-3.6
01 01 2018 13:50,2,0,1,915.6,6,-3.6
01 01 2018 14:00,2,0,0,915.2,6,-3.1
01 01 2018 14:10,2,0,0,915.2,6,-3.1
01 01 2018 14:20,2,0,0,915.2,6,-3.1
01 01 2018 14:30,2,0,0,915.2,6,-3.1
01 01 2018 14:40,2,0,0,915.2,6,-3.1
01 01 2018 14:50,2,0,0,915.2,6,-3.1
01 01 2018 15:00,1.9,0,0,915,5.5,-2.6
01 01 2018 15:10,1.9,0,0,915,5.5,-2.6
01 01 2018 15:20,1.9,0,0,915,5.5,-2.6
01 01 2018 15:30,1.9,0,0,915,5.5,-2.6
01 01 2018 15:40,1.9,0,0,915,5.5,-2.6
01 01 2018 15:50,1.9,0,0,915,5.5,-2.6
01 01 2018 16:00,1.8,0,0,914.4,5.6,-2.5
01 01 2018 16:10,1.8,0,0,914.4,5.6,-2.5
01 01 2018 16:20,1.8,0,0,914.4,5.6,-2.5
01 01 2018 16:30,1.8,0,0,914.4,5.6,-2.5
01 01 2018 16:40,1.8,0,0,914.4,5.6,-2.5
01 01 2018 16:50,1.8,0,0,914.4,5.6,-2.5
01 01 2018 17:00,1.6,0,0,914.1,6,-2.5
01 01 2018 17:10,1.6,0,0,914.1,6,-2.5
01 01 2018 17:20,1.6,0,0,914.1,6,-2.5
01 01 2018 17:30,1.6,0,0,914.1,6,-2.5
01 01 2018 17:40,1.6,0,0,914.1,6,-2.5
01 01 2018 17:50,1.6,0,0,914.1,6,-2.5
01 01 2018 18:00,1.2,0,0,913.8,6,-2.7
01 01 2018 18:10,1.2,0,0,913.8,6,-2.7
01 01 2018 18:20,1.2,0,0,913.8,6,-2.7
01 01 2018 18:30,1.2,0,0,913.8,6,-2.7
01 01 2018 18:40,1.2,0,0,913.8,6,-2.7
01 01 2018 18:50,1.2,0,0,913.8,6,-2.7
01 01 2018 19:00,0.9,0,6,913.2,6.3,-2.9
01 01 2018 19:10,0.9,0,6,913.2,6.3,-2.9
01 01 2018 19:20,0.9,0,6,913.2,6.3,-2.9
01 01 2018 19:30,0.9,0,6,913.2,6.3,-2.9
01 01 2018 19:40,0.9,0,6,913.2,6.3,-2.9
01 01 2018 19:50,0.9,0,6,913.2,6.3,-2.9
01 01 2018 20:00,0.9,0,5,912.9,8,-2.7
01 01 2018 20:10,0.9,0,5,912.9,8,-2.7
01 01 2018 20:20,0.9,0,5,912.9,8,-2.7
01 01 2018 20:30,0.9,0,5,912.9,8,-2.7
01 01 2018 20:40,0.9,0,5,912.9,8,-2.7
01 01 2018 20:50,0.9,0,5,912.9,8,-2.7
01 01 2018 21:00,0.7,0,0,912.4,6.4,-3.3
01 01 2018 21:10,0.7,0,0,912.4,6.4,-3.3
01 01 2018 21:20,0.7,0,0,912.4,6.4,-3.3
01 01 2018 21:30,0.7,0,0,912.4,6.4,-3.3
01 01 2018 21:40,0.7,0,0,912.4,6.4,-3.3
01 01 2018 21:50,0.7,0,0,912.4,6.4,-3.3
01 01 2018 22:00,1,0,17,911.8,6.3,-3.1
01 01 2018 22:10,1,0,17,911.8,6.3,-3.1
01 01 2018 22:20,1,0,17,911.8,6.3,-3.1
01 01 2018 22:30,1,0,17,911.8,6.3,-3.1
01 01 2018 22:40,1,0,17,911.8,6.3,-3.1
01 01 2018 22:50,1,0,17,911.8,6.3,-3.1
01 01 2018 23:00,1.1,0,25,911.4,6.3,-2.9
01 01 2018 23:10,1.1,0,25,911.4,6.3,-2.9
01 01 2018 23:20,1.1,0,25,911.4,6.3,-2.9
01 01 2018 23:30,1.1,0,25,911.4,6.3,-2.9
01 01 2018 23:40,1.1,0,25,911.4,6.3,-2.9
01 01 2018 23:50,1.1,0,25,911.4,6.3,-2.9
01 02 2018 00:00,1.4,0,28,911.1,6.2,-2.6
01 02 2018 00:10,1.4,0,28,911.1,6.2,-2.6
01 02 2018 00:20,1.4,0,28,911.1,6.2,-2.6
01 02 2018 00:30,1.4,0,28,911.1,6.2,-2.6
01 02 2018 00:40,1.4,0,28,911.1,6.2,-2.6
01 02 2018 00:50,1.4,0,28,911.1,6.2,-2.6
01 02 2018 01:00,1.7,0,29,910.6,6.5,-2.4
01 02 2018 01:10,1.7,0,29,910.6,6.5,-2.4
01 02 2018 01:20,1.7,0,29,910.6,6.5,-2.4
01 02 2018 01:30,1.7,0,29,910.6,6.5,-2.4
01 02 2018 01:40,1.7,0,29,910.6,6.5,-2.4
01 02 2018 01:50,1.7,0,29,910.6,6.5,-2.4
01 02 2018 02:00,2.8,0,29,910.5,6.8,-1.8
01 02 2018 02:10,2.8,0,29,910.5,6.8,-1.8
01 02 2018 02:20,2.8,0,29,910.5,6.8,-1.8
01 02 2018 02:30,2.8,0,29,910.5,6.8,-1.8
01 02 2018 02:40,2.8,0,29,910.5,6.8,-1.8
01 02 2018 02:50,2.8,0,29,910.5,6.8,-1.8
01 02 2018 03:00,4.9,0,27,911.3,8.3,-0.3
01 02 2018 03:10,4.9,0,27,911.3,8.3,-0.3
01 02 2018 03:20,4.9,0,27,911.3,8.3,-0.3
01 02 2018 03:30,4.9,0,27,911.3,8.3,-0.3
01 02 2018 03:40,4.9,0,27,911.3,8.3,-0.3
01 02 2018 03:50,4.9,0,27,911.3,8.3,-0.3
01 02 2018 04:00,7,0,28,911.8,7.8,1.7
01 02 2018 04:10,7,0,28,911.8,7.8,1.7
01 02 2018 04:20,7,0,28,911.8,7.8,1.7
01 02 2018 04:30,7,0,28,911.8,7.8,1.7
01 02 2018 04:40,7,0,28,911.8,7.8,1.7
01 02 2018 04:50,7,0,28,911.8,7.8,1.7
01 02 2018 05:00,8.8,0,22,912.4,4.7,1.6
01 02 2018 05:10,8.8,0,22,912.4,4.7,1.6
01 02 2018 05:20,8.8,0,22,912.4,4.7,1.6
01 02 2018 05:30,8.8,0,22,912.4,4.7,1.6
01 02 2018 05:40,8.8,0,22,912.4,4.7,1.6
01 02 2018 05:50,8.8,0,22,912.4,4.7,1.6
01 02 2018 06:00,9.5,0,20,912.1,1.8,2.2
01 02 2018 06:10,9.5,0,20,912.1,1.8,2.2
01 02 2018 06:20,9.5,0,20,912.1,1.8,2.2
01 02 2018 06:30,9.5,0,20,912.1,1.8,2.2
01 02 2018 06:40,9.5,0,20,912.1,1.8,2.2
01 02 2018 06:50,9.5,0,20,912.1,1.8,2.2
01 02 2018 07:00,10,0,31,911.7,5.2,1.7
01 02 2018 07:10,10,0,31,911.7,5.2,1.7
01 02 2018 07:20,10,0,31,911.7,5.2,1.7
01 02 2018 07:30,10,0,31,911.7,5.2,1.7
01 02 2018 07:40,10,0,31,911.7,5.2,1.7
01 02 2018 07:50,10,0,31,911.7,5.2,1.7
01 02 2018 08:00,10.6,0,29,911.9,13.4,0.6
01 02 2018 08:10,10.6,0,29,911.9,13.4,0.6
01 02 2018 08:20,10.6,0,29,911.9,13.4,0.6
01 02 2018 08:30,10.6,0,29,911.9,13.4,0.6
01 02 2018 08:40,10.6,0,29,911.9,13.4,0.6
01 02 2018 08:50,10.6,0,29,911.9,13.4,0.6
01 02 2018 09:00,10.2,0,42,911.8,14.4,1.4
01 02 2018 09:10,10.2,0,42,911.8,14.4,1.4
01 02 2018 09:20,10.2,0,42,911.8,14.4,1.4
01 02 2018 09:30,10.2,0,42,911.8,14.4,1.4
01 02 2018 09:40,10.2,0,42,911.8,14.4,1.4
01 02 2018 09:50,10.2,0,42,911.8,14.4,1.4
01 02 2018 10:00,9,0,57,911.8,8.6,1.6
01 02 2018 10:10,9,0,57,911.8,8.6,1.6
01 02 2018 10:20,9,0,57,911.8,8.6,1.6
01 02 2018 10:30,9,0,57,911.8,8.6,1.6
01 02 2018 10:40,9,0,57,911.8,8.6,1.6
01 02 2018 10:50,9,0,57,911.8,8.6,1.6
01 02 2018 11:00,6.2,0,64,911,6.9,1.2
01 02 2018 11:10,6.2,0,64,911,6.9,1.2
01 02 2018 11:20,6.2,0,64,911,6.9,1.2
01 02 2018 11:30,6.2,0,64,911,6.9,1.2
01 02 2018 11:40,6.2,0,64,911,6.9,1.2
01 02 2018 11:50,6.2,0,64,911,6.9,1.2
01 02 2018 12:00,5.6,0,65,911,6.2,1.6
01 02 2018 12:10,5.6,0,65,911,6.2,1.6
01 02 2018 12:20,5.6,0,65,911,6.2,1.6
01 02 2018 12:30,5.6,0,65,911,6.2,1.6
01 02 2018 12:40,5.6,0,65,911,6.2,1.6
01 02 2018 12:50,5.6,0,65,911,6.2,1.6
01 02 2018 13:00,5.4,0,100,910.8,5.1,1.8
01 02 2018 13:10,5.4,0,100,910.8,5.1,1.8
01 02 2018 13:20,5.4,0,100,910.8,5.1,1.8
01 02 2018 13:30,5.4,0,100,910.8,5.1,1.8
01 02 2018 13:40,5.4,0,100,910.8,5.1,1.8
01 02 2018 13:50,5.4,0,100,910.8,5.1,1.8
01 02 2018 14:00,6.3,0,100,911,4.7,1.8
01 02 2018 14:10,6.3,0,100,911,4.7,1.8
01 02 2018 14:20,6.3,0,100,911,4.7,1.8
01 02 2018 14:30,6.3,0,100,911,4.7,1.8
01 02 2018 14:40,6.3,0,100,911,4.7,1.8
01 02 2018 14:50,6.3,0,100,911,4.7,1.8
01 02 2018 15:00,6.1,0,59,910.8,4,1.8
01 02 2018 15:10,6.1,0,59,910.8,4,1.8
01 02 2018 15:20,6.1,0,59,910.8,4,1.8
01 02 2018 15:30,6.1,0,59,910.8,4,1.8
01 02 2018 15:40,6.1,0,59,910.8,4,1.8
01 02 2018 15:50,6.1,0,59,910.8,4,1.8
01 02 2018 16:00,5,0.1,47,910.3,4.6,1.5
01 02 2018 16:10,5,0.1,47,910.3,4.6,1.5
01 02 2018 16:20,5,0.1,47,910.3,4.6,1.5
01 02 2018 16:30,5,0.1,47,910.3,4.6,1.5
01 02 2018 16:40,5,0.1,47,910.3,4.6,1.5
01 02 2018 16:50,5,0.1,47,910.3,4.6,1.5
01 02 2018 17:00,5.1,0,84,910.2,4.9,1.2
01 02 2018 17:10,5.1,0,84,910.2,4.9,1.2
01 02 2018 17:20,5.1,0,84,910.2,4.9,1.2
01 02 2018 17:30,5.1,0,84,910.2,4.9,1.2
01 02 2018 17:40,5.1,0,84,910.2,4.9,1.2
01 02 2018 17:50,5.1,0,84,910.2,4.9,1.2
01 02 2018 18:00,4.7,0.1,100,910.1,5.4,0.9
01 02 2018 18:10,4.7,0.1,100,910.1,5.4,0.9
01 02 2018 18:20,4.7,0.1,100,910.1,5.4,0.9
01 02 2018 18:30,4.7,0.1,100,910.1,5.4,0.9
01 02 2018 18:40,4.7,0.1,100,910.1,5.4,0.9
01 02 2018 18:50,4.7,0.1,100,910.1,5.4,0.9
01 02 2018 19:00,4.9,1,100,910.2,4.7,1.8
01 02 2018 19:10,4.9,1,100,910.2,4.7,1.8
01 02 2018 19:20,4.9,1,100,910.2,4.7,1.8
01 02 2018 19:30,4.9,1,100,910.2,4.7,1.8
01 02 2018 19:40,4.9,1,100,910.2,4.7,1.8
01 02 2018 19:50,4.9,1,100,910.2,4.7,1.8
01 02 2018 20:00,4.8,1.3,59,910.5,6.2,1.6
01 02 2018 20:10,4.8,1.3,59,910.5,6.2,1.6
01 02 2018 20:20,4.8,1.3,59,910.5,6.2,1.6
01 02 2018 20:30,4.8,1.3,59,910.5,6.2,1.6
01 02 2018 20:40,4.8,1.3,59,910.5,6.2,1.6
01 02 2018 20:50,4.8,1.3,59,910.5,6.2,1.6
01 02 2018 21:00,4.4,0.3,38,909.8,8.2,1.7
01 02 2018 21:10,4.4,0.3,38,909.8,8.2,1.7
01 02 2018 21:20,4.4,0.3,38,909.8,8.2,1.7
01 02 2018 21:30,4.4,0.3,38,909.8,8.2,1.7
01 02 2018 21:40,4.4,0.3,38,909.8,8.2,1.7
01 02 2018 21:50,4.4,0.3,38,909.8,8.2,1.7
01 02 2018 22:00,3.8,0,50,908.9,8.1,1.2
01 02 2018 22:10,3.8,0,50,908.9,8.1,1.2
01 02 2018 22:20,3.8,0,50,908.9,8.1,1.2
01 02 2018 22:30,3.8,0,50,908.9,8.1,1.2
01 02 2018 22:40,3.8,0,50,908.9,8.1,1.2
01 02 2018 22:50,3.8,0,50,908.9,8.1,1.2
01 02 2018 23:00,3.6,0,25,908.3,8.3,1
01 02 2018 23:10,3.6,0,25,908.3,8.3,1
01 02 2018 23:20,3.6,0,25,908.3,8.3,1
01 02 2018 23:30,3.6,0,25,908.3,8.3,1
01 02 2018 23:40,3.6,0,25,908.3,8.3,1
01 02 2018 23:50,3.6,0,25,908.3,8.3,1
01 03 2018 00:00,2.6,0.1,35,908.2,3.9,0.3
01 03 2018 00:10,2.6,0.1,35,908.2,3.9,0.3
01 03 2018 00:20,2.6,0.1,35,908.2,3.9,0.3
01 03 2018 00:30,2.6,0.1,35,908.2,3.9,0.3
01 03 2018 00:40,2.6,0.1,35,908.2,3.9,0.3
01 03 2018 00:50,2.6,0.1,35,908.2,3.9,0.3
01 03 2018 01:00,2.5,0.1,52,908.7,4.9,0.5
01 03 2018 01:10,2.5,0.1,52,908.7,4.9,0.5
01 03 2018 01:20,2.5,0.1,52,908.7,4.9,0.5
01 03 2018 01:30,2.5,0.1,52,908.7,4.9,0.5
01 03 2018 01:40,2.5,0.1,52,908.7,4.9,0.5
01 03 2018 01:50,2.5,0.1,52,908.7,4.9,0.5
01 03 2018 02:00,4.9,0.1,98,909.7,4.5,2.2
01 03 2018 02:10,4.9,0.1,98,909.7,4.5,2.2
01 03 2018 02:20,4.9,0.1,98,909.7,4.5,2.2
01 03 2018 02:30,4.9,0.1,98,909.7,4.5,2.2
01 03 2018 02:40,4.9,0.1,98,909.7,4.5,2.2
01 03 2018 02:50,4.9,0.1,98,909.7,4.5,2.2
01 03 2018 03:00,5.1,0.2,100,910.5,1.1,3.5
01 03 2018 03:10,5.1,0.2,100,910.5,1.1,3.5
01 03 2018 03:20,5.1,0.2,100,910.5,1.1,3.5
01 03 2018 03:30,5.1,0.2,100,910.5,1.1,3.5
01 03 2018 03:40,5.1,0.2,100,910.5,1.1,3.5
01 03 2018 03:50,5.1,0.2,100,910.5,1.1,3.5
01 03 2018 04:00,5.5,0.1,74,910.4,4.8,3.4
01 03 2018 04:10,5.5,0.1,74,910.4,4.8,3.4
01 03 2018 04:20,5.5,0.1,74,910.4,4.8,3.4
01 03 2018 04:30,5.5,0.1,74,910.4,4.8,3.4
01 03 2018 04:40,5.5,0.1,74,910.4,4.8,3.4
01 03 2018 04:50,5.5,0.1,74,910.4,4.8,3.4
01 03 2018 05:00,6.3,0,67,910.8,6.9,2.2
01 03 2018 05:10,6.3,0,67,910.8,6.9,2.2
01 03 2018 05:20,6.3,0,67,910.8,6.9,2.2
01 03 2018 05:30,6.3,0,67,910.8,6.9,2.2
01 03 2018 05:40,6.3,0,67,910.8,6.9,2.2
01 03 2018 05:50,6.3,0,67,910.8,6.9,2.2
01 03 2018 06:00,7.3,0,86,910.4,6.2,2.6
01 03 2018 06:10,7.3,0,86,910.4,6.2,2.6
01 03 2018 06:20,7.3,0,86,910.4,6.2,2.6
01 03 2018 06:30,7.3,0,86,910.4,6.2,2.6
01 03 2018 06:40,7.3,0,86,910.4,6.2,2.6
01 03 2018 06:50,7.3,0,86,910.4,6.2,2.6
01 03 2018 07:00,6.8,0.3,100,910.1,4,2.7
01 03 2018 07:10,6.8,0.3,100,910.1,4,2.7
01 03 2018 07:20,6.8,0.3,100,910.1,4,2.7
01 03 2018 07:30,6.8,0.3,100,910.1,4,2.7
01 03 2018 07:40,6.8,0.3,100,910.1,4,2.7
01 03 2018 07:50,6.8,0.3,100,910.1,4,2.7
01 03 2018 08:00,7.5,0.1,42,909.8,5.1,2.8
01 03 2018 08:10,7.5,0.1,42,909.8,5.1,2.8
01 03 2018 08:20,7.5,0.1,42,909.8,5.1,2.8
01 03 2018 08:30,7.5,0.1,42,909.8,5.1,2.8
01 03 2018 08:40,7.5,0.1,42,909.8,5.1,2.8
01 03 2018 08:50,7.5,0.1,42,909.8,5.1,2.8
01 03 2018 09:00,7.2,0,58,909.3,6.6,2.8
01 03 2018 09:10,7.2,0,58,909.3,6.6,2.8
01 03 2018 09:20,7.2,0,58,909.3,6.6,2.8
01 03 2018 09:30,7.2,0,58,909.3,6.6,2.8
01 03 2018 09:40,7.2,0,58,909.3,6.6,2.8
01 03 2018 09:50,7.2,0,58,909.3,6.6,2.8
01 03 2018 10:00,6.1,0,69,908.9,2.9,4.4
01 03 2018 10:10,6.1,0,69,908.9,2.9,4.4
01 03 2018 10:20,6.1,0,69,908.9,2.9,4.4
01 03 2018 10:30,6.1,0,69,908.9,2.9,4.4
01 03 2018 10:40,6.1,0,69,908.9,2.9,4.4
01 03 2018 10:50,6.1,0,69,908.9,2.9,4.4
01 03 2018 11:00,5.7,0,85,908.8,2.9,2.9
01 03 2018 11:10,5.7,0,85,908.8,2.9,2.9
01 03 2018 11:20,5.7,0,85,908.8,2.9,2.9
01 03 2018 11:30,5.7,0,85,908.8,2.9,2.9
01 03 2018 11:40,5.7,0,85,908.8,2.9,2.9
01 03 2018 11:50,5.7,0,85,908.8,2.9,2.9
01 03 2018 12:00,5.1,0.4,62,909.1,0.5,2.6
01 03 2018 12:10,5.1,0.4,62,909.1,0.5,2.6
01 03 2018 12:20,5.1,0.4,62,909.1,0.5,2.6
01 03 2018 12:30,5.1,0.4,62,909.1,0.5,2.6
01 03 2018 12:40,5.1,0.4,62,909.1,0.5,2.6
01 03 2018 12:50,5.1,0.4,62,909.1,0.5,2.6
01 03 2018 13:00,3.3,0.3,80,908.9,4.7,2.2
01 03 2018 13:10,3.3,0.3,80,908.9,4.7,2.2
01 03 2018 13:20,3.3,0.3,80,908.9,4.7,2.2
01 03 2018 13:30,3.3,0.3,80,908.9,4.7,2.2
01 03 2018 13:40,3.3,0.3,80,908.9,4.7,2.2
01 03 2018 13:50,3.3,0.3,80,908.9,4.7,2.2
01 03 2018 14:00,2.6,0.1,75,908.7,4.8,2.3
01 03 2018 14:10,2.6,0.1,75,908.7,4.8,2.3
01 03 2018 14:20,2.6,0.1,75,908.7,4.8,2.3
01 03 2018 14:30,2.6,0.1,75,908.7,4.8,2.3
01 03 2018 14:40,2.6,0.1,75,908.7,4.8,2.3
01 03 2018 14:50,2.6,0.1,75,908.7,4.8,2.3
01 03 2018 15:00,1.6,0.2,100,908.4,4.1,1.6
01 03 2018 15:10,1.6,0.2,100,908.4,4.1,1.6
01 03 2018 15:20,1.6,0.2,100,908.4,4.1,1.6
01 03 2018 15:30,1.6,0.2,100,908.4,4.1,1.6
01 03 2018 15:40,1.6,0.2,100,908.4,4.1,1.6
01 03 2018 15:50,1.6,0.2,100,908.4,4.1,1.6
01 03 2018 16:00,2.1,0.4,100,908.3,3.9,1.3
01 03 2018 16:10,2.1,0.4,100,908.3,3.9,1.3
01 03 2018 16:20,2.1,0.4,100,908.3,3.9,1.3
01 03 2018 16:30,2.1,0.4,100,908.3,3.9,1.3
01 03 2018 16:40,2.1,0.4,100,908.3,3.9,1.3
01 03 2018 16:50,2.1,0.4,100,908.3,3.9,1.3
01 03 2018 17:00,2.6,0.5,100,908.6,4.7,1.6
01 03 2018 17:10,2.6,0.5,100,908.6,4.7,1.6
01 03 2018 17:20,2.6,0.5,100,908.6,4.7,1.6
01 03 2018 17:30,2.6,0.5,100,908.6,4.7,1.6
01 03 2018 17:40,2.6,0.5,100,908.6,4.7,1.6
01 03 2018 17:50,2.6,0.5,100,908.6,4.7,1.6
01 03 2018 18:00,2.8,0.4,100,908.3,4.8,1.9
01 03 2018 18:10,2.8,0.4,100,908.3,4.8,1.9
01 03 2018 18:20,2.8,0.4,100,908.3,4.8,1.9
01 03 2018 18:30,2.8,0.4,100,908.3,4.8,1.9
01 03 2018 18:40,2.8,0.4,100,908.3,4.8,1.9
01 03 2018 18:50,2.8,0.4,100,908.3,4.8,1.9
01 03 2018 19:00,2.9,0.5,100,907.9,4.4,2
01 03 2018 19:10,2.9,0.5,100,907.9,4.4,2
01 03 2018 19:20,2.9,0.5,100,907.9,4.4,2
01 03 2018 19:30,2.9,0.5,100,907.9,4.4,2
01 03 2018 19:40,2.9,0.5,100,907.9,4.4,2
01 03 2018 19:50,2.9,0.5,100,907.9,4.4,2
01 03 2018 20:00,1.7,0,73,907.4,4.7,0.7
01 03 2018 20:10,1.7,0,73,907.4,4.7,0.7
01 03 2018 20:20,1.7,0,73,907.4,4.7,0.7
01 03 2018 20:30,1.7,0,73,907.4,4.7,0.7
01 03 2018 20:40,1.7,0,73,907.4,4.7,0.7
01 03 2018 20:50,1.7,0,73,907.4,4.7,0.7
01 03 2018 21:00,2.2,0.2,59,907.1,5.3,1.1
01 03 2018 21:10,2.2,0.2,59,907.1,5.3,1.1
01 03 2018 21:20,2.2,0.2,59,907.1,5.3,1.1
01 03 2018 21:30,2.2,0.2,59,907.1,5.3,1.1
01 03 2018 21:40,2.2,0.2,59,907.1,5.3,1.1
01 03 2018 21:50,2.2,0.2,59,907.1,5.3,1.1
01 03 2018 22:00,2.1,0.1,96,906.7,5.6,0.9
01 03 2018 22:10,2.1,0.1,96,906.7,5.6,0.9
01 03 2018 22:20,2.1,0.1,96,906.7,5.6,0.9
01 03 2018 22:30,2.1,0.1,96,906.7,5.6,0.9
01 03 2018 22:40,2.1,0.1,96,906.7,5.6,0.9
01 03 2018 22:50,2.1,0.1,96,906.7,5.6,0.9
01 03 2018 23:00,2.1,0.5,85,906.4,5.2,0.9
01 03 2018 23:10,2.1,0.5,85,906.4,5.2,0.9
01 03 2018 23:20,2.1,0.5,85,906.4,5.2,0.9
01 03 2018 23:30,2.1,0.5,85,906.4,5.2,0.9
01 03 2018 23:40,2.1,0.5,85,906.4,5.2,0.9
01 03 2018 23:50,2.1,0.5,85,906.4,5.2,0.9
01 04 2018 00:00,2,0.1,96,906.4,4.8,1.1
01 04 2018 00:10,2,0.1,96,906.4,4.8,1.1
01 04 2018 00:20,2,0.1,96,906.4,4.8,1.1
01 04 2018 00:30,2,0.1,96,906.4,4.8,1.1
01 04 2018 00:40,2,0.1,96,906.4,4.8,1.1
01 04 2018 00:50,2,0.1,96,906.4,4.8,1.1
01 04 2018 01:00,1.9,0.2,34,906.5,5,1.1
01 04 2018 01:10,1.9,0.2,34,906.5,5,1.1
01 04 2018 01:20,1.9,0.2,34,906.5,5,1.1
01 04 2018 01:30,1.9,0.2,34,906.5,5,1.1
01 04 2018 01:40,1.9,0.2,34,906.5,5,1.1
