Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°),Time,Temperature(°C),Precipitation(mm),Cloudcover(%),Pressure(hPa),Wind Speed(km / h),Dewpoint(°C)
01 01 2018 19:10,2960.18310546875,11.3907804489135,3393.64554116411,200.654296875,01 01 2018 19:10,0.9,0.0,6,913.2,6.3,-2.9
01 01 2018 19:20,3062.97802734375,11.5655403137207,3437.59713457272,198.124298095703,01 01 2018 19:20,0.9,0.0,6,913.2,6.3,-2.9
01 01 2018 19:30,3024.39208984375,11.280249595642,3362.66874184888,198.538192749023,01 01 2018 19:30,0.9,0.0,6,913.2,6.3,-2.9
01 01 2018 19:40,3187.97290039062,11.3367795944213,3378.82627083958,200.490402221679,01 01 2018 19:40,0.9,0.0,6,913.2,6.3,-2.9
01 01 2018 19:50,3387.22802734375,11.8046398162841,3488.24849124087,199.24690246582,01 01 2018 19:50,0.9,0.0,6,913.2,6.3,-2.9
01 01 2018 20:00,3209.01806640625,11.3635396957397,3386.24448582472,199.80549621582,01 01 2018 20:00,0.9,0.0,5,912.9,8.0,-2.7
01 01 2018 20:10,3272.6650390625,11.6325902938842,3452.88110782365,198.267700195312,01 01 2018 20:10,0.9,0.0,5,912.9,8.0,-2.7
01 01 2018 20:20,3209.69897460937,11.4447603225708,3407.86787605817,195.632003784179,01 01 2018 20:20,0.9,0.0,5,912.9,8.0,-2.7
01 01 2018 20:30,3134.51806640625,11.2719001770019,3360.22577475203,196.661102294921,01 01 2018 20:30,0.9,0.0,5,912.9,8.0,-2.7
01 01 2018 20:40,2977.82495117187,11.0590095520019,3292.88092490873,196.515899658203,01 01 2018 20:40,0.9,0.0,5,912.9,8.0,-2.7
01 01 2018 20:50,3431.77294921875,12.1037797927856,3537.17370631569,198.257003784179,01 01 2018 20:50,0.9,0.0,5,912.9,8.0,-2.7
01 01 2018 21:00,3604.2099609375,12.9281396865844,3597.46946747004,201.582595825195,01 01 2018 21:00,0.7,0.0,0,912.4,6.4,-3.3
01 01 2018 21:10,3601.32788085937,13.3194198608398,3600.0,201.942199707031,01 01 2018 21:10,0.7,0.0,0,912.4,6.4,-3.3
01 01 2018 21:20,3604.42602539062,13.1215200424194,3600.0,203.50779724121,01 01 2018 21:20,0.7,0.0,0,912.4,6.4,-3.3
01 01 2018 21:30,3604.39111328125,13.2354497909545,3600.0,202.692993164062,01 01 2018 21:30,0.7,0.0,0,912.4,6.4,-3.3
01 01 2018 21:40,3604.337890625,13.2358999252319,3600.0,202.936294555664,01 01 2018 21:40,0.7,0.0,0,912.4,6.4,-3.3
01 01 2018 21:50,3554.68798828125,13.0295600891113,3600.0,201.25390625,01 01 2018 21:50,0.7,0.0,0,912.4,6.4,-3.3
01 01 2018 22:00,3479.40795898437,12.963939666748,3597.79463518254,201.340896606445,01 01 2018 22:00,1.0,0.0,17,911.8,6.3,-3.1
01 01 2018 22:10,3472.3330078125,12.9029502868652,3597.13105990188,200.979507446289,01 01 2018 22:10,1.0,0.0,17,911.8,6.3,-3.1
01 01 2018 22:20,3491.51098632812,12.7663402557373,3593.70494203457,200.996002197265,01 01 2018 22:20,1.0,0.0,17,911.8,6.3,-3.1
01 01 2018 22:30,3536.98901367187,12.8983497619628,3597.0594486071,200.514205932617,01 01 2018 22:30,1.0,0.0,17,911.8,6.3,-3.1
01 01 2018 22:40,3528.65893554687,12.7421102523803,3592.81431300069,202.895294189453,01 01 2018 22:40,1.0,0.0,17,911.8,6.3,-3.1
01 01 2018 22:50,3581.5400390625,12.318260192871,3562.99009479352,202.841094970703,01 01 2018 22:50,1.0,0.0,17,911.8,6.3,-3.1
01 01 2018 23:00,3570.0791015625,12.418809890747,3572.55614292551,202.411804199218,01 01 2018 23:00,1.1,0.0,25,911.4,6.3,-2.9
01 01 2018 23:10,3597.60400390625,12.5429897308349,3582.20464281071,201.625305175781,01 01 2018 23:10,1.1,0.0,25,911.4,6.3,-2.9
01 01 2018 23:20,3441.02587890625,12.6759996414184,3589.94563404896,199.32209777832,01 01 2018 23:20,1.1,0.0,25,911.4,6.3,-2.9
01 01 2018 23:30,3373.96997070312,13.0030498504638,3600.0,197.130706787109,01 01 2018 23:30,1.1,0.0,25,911.4,6.3,-2.9
01 01 2018 23:40,3369.81298828125,13.2976703643798,3600.0,196.493606567382,01 01 2018 23:40,1.1,0.0,25,911.4,6.3,-2.9
01 01 2018 23:50,3375.90307617187,12.8440599441528,3595.98479162144,195.315002441406,01 01 2018 23:50,1.1,0.0,25,911.4,6.3,-2.9
02 01 2018 00:00,3377.64990234375,12.7053899765014,3591.30046108295,196.042205810546,02 01 2018 00:00,-1.3,0.0,0,918.3,7.1,-7.1
02 01 2018 00:10,3374.42309570312,12.1833600997924,3547.62765509484,197.743896484375,02 01 2018 00:10,-1.3,0.0,0,918.3,7.1,-7.1
02 01 2018 00:20,3401.0810546875,12.2051401138305,3550.30722235787,196.808807373046,02 01 2018 00:20,-1.3,0.0,0,918.3,7.1,-7.1
02 01 2018 00:30,3469.412109375,12.6018800735473,3585.95918141078,193.815704345703,02 01 2018 00:30,-1.3,0.0,0,918.3,7.1,-7.1
02 01 2018 00:40,3511.80908203125,12.8445501327514,3595.9963935586,194.346603393554,02 01 2018 00:40,-1.3,0.0,0,918.3,7.1,-7.1
02 01 2018 00:50,3536.75903320312,12.4970598220825,3578.91155469034,196.009201049804,02 01 2018 00:50,-1.3,0.0,0,918.3,7.1,-7.1
02 01 2018 01:00,3467.80810546875,12.0960702896118,3536.10513948266,197.952697753906,02 01 2018 01:00,-0.8,0.0,0,918.5,7.0,-7.1
02 01 2018 01:10,3460.67700195312,12.1961202621459,3549.20691711024,201.330307006835,02 01 2018 01:10,-0.8,0.0,0,918.5,7.0,-7.1
02 01 2018 01:20,3589.44311523437,12.5503501892089,3582.70255395235,201.188201904296,02 01 2018 01:20,-0.8,0.0,0,918.5,7.0,-7.1
02 01 2018 01:30,3527.71899414062,12.6156702041625,3586.76296687567,202.623596191406,02 01 2018 01:30,-0.8,0.0,0,918.5,7.0,-7.1
02 01 2018 01:40,3561.26708984375,13.102780342102,3600.0,201.7666015625,02 01 2018 01:40,-0.8,0.0,0,918.5,7.0,-7.1
02 01 2018 01:50,3604.06811523437,13.6877498626708,3600.0,199.019500732421,02 01 2018 01:50,-0.8,0.0,0,918.5,7.0,-7.1
02 01 2018 02:00,3604.17602539062,14.1024198532104,3600.0,196.25520324707,02 01 2018 02:00,2.1,0.0,0,919.5,7.2,-7.2
02 01 2018 02:10,3593.20092773437,14.3933095932006,3600.0,195.879898071289,02 01 2018 02:10,2.1,0.0,0,919.5,7.2,-7.2
02 01 2018 02:20,3493.82104492187,14.0795497894287,3600.0,197.640304565429,02 01 2018 02:20,2.1,0.0,0,919.5,7.2,-7.2
02 01 2018 02:30,3470.70190429687,14.0544004440307,3600.0,197.244796752929,02 01 2018 02:30,2.1,0.0,0,919.5,7.2,-7.2
02 01 2018 02:40,3436.61010742187,13.5124702453613,3600.0,195.995407104492,02 01 2018 02:40,2.1,0.0,0,919.5,7.2,-7.2
02 01 2018 02:50,3401.455078125,13.7100496292114,3600.0,192.419799804687,02 01 2018 02:50,2.1,0.0,0,919.5,7.2,-7.2
02 01 2018 03:00,3395.23291015625,13.7423295974731,3600.0,191.013702392578,02 01 2018 03:00,6.4,0.0,0,921.0,10.5,-6.0
02 01 2018 03:10,3417.50390625,13.1418600082397,3600.0,192.204696655273,02 01 2018 03:10,6.4,0.0,0,921.0,10.5,-6.0
02 01 2018 03:20,3465.10888671875,12.8677101135253,3596.50506006828,192.771697998046,02 01 2018 03:20,6.4,0.0,0,921.0,10.5,-6.0
02 01 2018 03:30,3467.41796875,12.8472700119018,3596.06013842223,192.470504760742,02 01 2018 03:30,6.4,0.0,0,921.0,10.5,-6.0
02 01 2018 03:40,3522.40698242187,12.7321100234985,3592.42166638681,192.567901611328,02 01 2018 03:40,6.4,0.0,0,921.0,10.5,-6.0
02 01 2018 03:50,3510.10791015625,12.5162000656127,3580.32294087044,194.999206542968,02 01 2018 03:50,6.4,0.0,0,921.0,10.5,-6.0
02 01 2018 04:00,3513.84497070312,12.5986604690551,3585.76741417889,196.042297363281,02 01 2018 04:00,9.8,0.0,1,922.3,9.4,-6.4
02 01 2018 04:10,3564.00805664062,13.2303199768066,3600.0,196.408798217773,02 01 2018 04:10,9.8,0.0,1,922.3,9.4,-6.4
02 01 2018 04:20,3475.27807617187,13.0946702957153,3600.0,198.524993896484,02 01 2018 04:20,9.8,0.0,1,922.3,9.4,-6.4
02 01 2018 04:30,3561.99096679687,12.9168796539306,3597.32940721254,198.010101318359,02 01 2018 04:30,9.8,0.0,1,922.3,9.4,-6.4
02 01 2018 04:40,3521.55493164062,12.6335496902465,3587.76274105689,197.663497924804,02 01 2018 04:40,9.8,0.0,1,922.3,9.4,-6.4
02 01 2018 04:50,3493.60791015625,12.8256702423095,3595.52445712704,201.104095458984,02 01 2018 04:50,9.8,0.0,1,922.3,9.4,-6.4
02 01 2018 05:00,3555.30493164062,12.5416202545166,3582.11109582746,200.363403320312,02 01 2018 05:00,11.2,0.0,0,922.8,8.5,-7.0
02 01 2018 05:10,3377.1279296875,12.1049699783325,3537.33778647827,196.982696533203,02 01 2018 05:10,11.2,0.0,0,922.8,8.5,-7.0
02 01 2018 05:20,3479.626953125,12.3625001907348,3567.3947065774,199.798995971679,02 01 2018 05:20,11.2,0.0,0,922.8,8.5,-7.0
02 01 2018 05:30,3539.11206054687,12.6039104461669,3586.07931541404,201.270294189453,02 01 2018 05:30,11.2,0.0,0,922.8,8.5,-7.0
02 01 2018 05:40,3430.43603515625,12.2122201919555,3551.16161586499,198.984603881835,02 01 2018 05:40,11.2,0.0,0,922.8,8.5,-7.0
02 01 2018 05:50,3301.91796875,11.9876203536987,3520.01183131278,202.571197509765,02 01 2018 05:50,11.2,0.0,0,922.8,8.5,-7.0
02 01 2018 06:00,3235.5439453125,11.6793298721313,3463.03160296846,200.703506469726,02 01 2018 06:00,11.9,0.0,0,922.9,9.9,-6.1
02 01 2018 06:10,3519.02294921875,12.4697198867797,3576.79825403164,197.873397827148,02 01 2018 06:10,11.9,0.0,0,922.9,9.9,-6.1
02 01 2018 06:20,3469.537109375,12.4948997497558,3578.74875641323,201.101104736328,02 01 2018 06:20,11.9,0.0,0,922.9,9.9,-6.1
